sequence,dvlt_w16_attn,dvlt_w16_loops,dvlt_w16_noloops
rgbd_dataset_freiburg1_360,0.08545,0.088896,0.088896
rgbd_dataset_freiburg1_desk,0.021454,0.021454,0.025244
rgbd_dataset_freiburg1_desk2,0.027775,0.027775,0.062306
rgbd_dataset_freiburg1_floor,0.026216,0.24678,0.038776
rgbd_dataset_freiburg1_plant,0.01814,0.391511,0.025399
rgbd_dataset_freiburg1_room,0.060922,0.38782,0.13605
rgbd_dataset_freiburg1_rpy,0.025431,0.025431,0.027214
rgbd_dataset_freiburg1_teddy,0.033066,0.037889,0.063763
rgbd_dataset_freiburg1_xyz,0.00927,0.00927,0.009751
